Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,Return on capital employed,Return on equity,Debt to equity,OPM,Sales growth 3Years,Profit growth 3Years,Price to Earning,EBIT,Net block,Enterprise Value,Promoter holding,Pledged percentage,Change in promoter holding 3Years
21st Cent. Mgmt.,526921,21STCENMGM,INE253B01015,Capital Markets,Other Capital Market related Services,41.16,43.22,-57.00,-57.21,0.00,-162.27,22.98,-12.57,,-17.12,0.63,39.67,64.43,0.00,1.66
360 ONE,542772,360ONE,INE466L01038,Capital Markets,Stockbroking & Allied,1200.00,48907.74,12.12,14.39,1.62,61.85,29.53,22.72,38.75,2842.28,3969.45,63357.46,6.20,0.00,-15.26
3P Land Hold.,516092,3PLAND,INE105C01023,Finance,Investment Company,31.74,57.13,2.38,1.78,0.00,64.86,22.83,12.28,25.17,3.04,1.60,56.93,73.30,0.00,0.00
5paisa Capital,540776,5PAISA,INE618L01018,Capital Markets,Stockbroking & Allied,368.35,1726.91,9.94,7.04,0.58,30.76,-1.86,0.40,39.06,92.96,17.59,687.76,36.50,0.00,3.11
A.K.Capital Serv,530499,AKCAPIT,INE701G01012,Finance,Non Banking Financial Company (NBFC),1708.10,1127.35,9.33,10.95,2.95,70.35,12.08,8.00,9.85,397.54,69.55,4153.26,72.24,0.00,0.74
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010,Finance,Housing Finance Company,471.10,20621.81,11.38,15.94,2.49,76.17,21.71,25.27,17.88,2889.15,137.52,38150.91,64.66,0.00,
Aar Shyam (I),542377,,INE512R01010,Finance,Non Banking Financial Company (NBFC),14.95,4.49,-23.85,-26.43,0.12,-262.50,-45.27,,,-0.21,0.00,4.74,40.54,0.00,31.96
AastamangalamFin,511764,,INE819K01014,Finance,Non Banking Financial Company (NBFC),31.84,49.47,13.25,11.98,0.60,97.31,72.42,86.72,5.53,16.29,0.02,77.55,28.49,0.00,-6.75
AAVAS Financiers,541988,AAVAS,INE216P01012,Finance,Housing Finance Company,1275.50,10113.99,9.92,13.91,3.11,73.82,18.61,15.04,14.72,1997.53,168.74,23956.26,48.88,0.00,9.75
Abans Financial,543712,AFSL,INE00ZE01026,Finance,Holding Company,211.92,1077.40,7.90,8.29,0.60,0.80,173.77,14.07,8.40,208.35,33.33,1223.03,71.11,0.00,-0.98
Abhinav Capital,532057,,INE516F01016,Finance,Non Banking Financial Company (NBFC),102.85,71.22,4.21,3.38,0.00,77.27,-31.18,-35.56,25.71,3.44,0.02,70.67,73.49,0.00,2.01
Abhinav Leasing,538952,,INE211D01027,Finance,Non Banking Financial Company (NBFC),1.10,5.50,6.27,10.30,5.64,38.38,-46.62,87.58,12.50,2.64,0.05,43.25,3.66,0.00,0.00
Abhishek Finle.,538935,,INE723C01015,Finance,Non Banking Financial Company (NBFC),66.54,30.69,1.81,1.15,0.00,-10.91,5.61,-8.04,,0.13,0.04,27.92,72.28,0.00,-0.46
Abirami Fin.,511756,,INE195I01013,Finance,Non Banking Financial Company (NBFC),36.00,19.44,3.45,2.59,0.00,,,-67.31,39.67,0.63,0.02,1.14,65.65,0.00,0.00
Acme Resources,539391,,INE636B01011,Finance,Non Banking Financial Company (NBFC),29.10,74.92,1.70,1.08,0.07,-5.86,-32.02,-51.46,64.59,2.10,0.05,81.08,73.42,0.00,-0.01
AD Manum Finance,511359,,INE556D01017,Finance,Non Banking Financial Company (NBFC),55.00,41.25,14.92,12.45,0.26,87.57,16.15,30.15,4.15,14.55,0.24,62.40,74.30,0.00,3.85
Adcon Capital,539506,,INE805Q01028,Finance,Non Banking Financial Company (NBFC),0.49,9.72,-3.15,-6.57,0.00,-21.63,101.48,,,-1.14,0.00,9.48,0.00,0.00,0.00
Adit.Birla Money,532974,BIRLAMONEY,INE865C01022,Capital Markets,Stockbroking & Allied,129.94,734.28,9.91,22.66,7.35,47.93,20.71,21.39,12.96,225.94,42.09,1774.03,73.53,0.00,0.00
Aditya AMC,543374,ABSLAMC,INE404A01024,Capital Markets,Asset Management Company,1047.90,30321.88,32.23,25.15,0.02,58.92,15.08,17.89,30.03,1306.99,116.39,30246.59,74.72,0.00,-11.77
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance,Investment Company,405.55,111014.05,8.72,12.04,5.22,36.95,14.70,-6.63,27.58,17945.14,1997.54,285821.82,68.81,0.00,-0.30
Advik Capital,539773,ADVIKCA,INE178T01024,Finance,Non Banking Financial Company (NBFC),1.19,72.41,-5.13,-14.34,1.01,-1202.19,-86.86,,,-15.51,1.60,206.73,22.49,0.00,0.69
AGS Transact,543451,AGSTRA,INE583L01014,Financial Technology (Fintech),Financial Technology (Fintech),2.01,25.82,1.26,-16.31,2.00,4.55,-5.79,,,-96.47,630.61,981.52,26.47,0.00,-39.05
Ajcon Global,511692,,INE759C01027,Finance,Other Financial Services,6.67,40.80,2.93,0.84,0.37,3.83,61.74,-27.27,163.20,1.23,1.95,48.38,65.84,0.00,-1.63
Akiko,,AKIKO,INE0PMR01017,Finance,Other Financial Services,410.00,441.55,37.12,29.43,0.25,14.69,,,22.83,29.88,5.75,453.15,67.29,0.00,
Akme Fintrade,544200,AFIL,INE916Y01027,Finance,Non Banking Financial Company (NBFC),9.40,413.36,13.87,10.50,1.19,75.31,28.90,42.95,9.34,118.59,26.06,818.00,39.02,5.04,
Alacrity Sec.,535916,,INE030P01017,Finance,Other Financial Services,46.10,215.10,9.20,6.42,0.09,2.84,25.48,24.35,22.02,13.86,7.30,214.91,54.34,0.00,-11.39
Alfred Herbert,505216,ALFREDHE,INE782D01027,Finance,Non Banking Financial Company (NBFC),2855.00,219.84,11.70,-24.78,0.00,93.02,154.17,,5.97,43.86,27.86,167.38,73.87,0.00,0.00
Algoquant Fin,505725,ALGOQUANT,INE598D01035,Finance,Other Financial Services,64.56,1814.76,31.43,27.69,0.25,26.58,159.59,136.18,40.57,64.73,13.09,1693.77,73.68,32.42,7.77
Almondz Global,531400,ALMONDZ,INE326B01035,Capital Markets,Stockbroking & Allied,16.96,296.63,11.74,11.25,0.18,14.41,35.67,22.33,8.69,41.93,47.14,338.76,55.01,0.00,-4.65
Amarnath Sec.,538465,,INE745P01010,Finance,Non Banking Financial Company (NBFC),17.76,5.33,-202.34,-277.87,0.15,-3105.00,,,,-5.25,0.00,5.98,0.00,0.00,-55.68
Amit Securities,531557,,INE137E01014,Finance,Non Banking Financial Company (NBFC),41.61,29.54,0.93,3.34,0.00,2.34,5.95,8.74,49.23,0.14,0.00,29.37,63.34,0.00,0.00
AMPL Capital,539598,,INE727C01024,Finance,Non Banking Financial Company (NBFC),29.29,180.02,21.64,23.60,0.76,71.08,30.81,54.82,7.64,36.70,17.83,266.98,26.03,0.00,-20.09
